"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-81.9248499,24.4543667,10.4,"Stegastes variabilis"
"obis",-80.76333,24.78311,4.4,"Stegastes variabilis"
"obis",-82.9273333,24.66995,18.3,"Stegastes variabilis"
"obis",-82.93357,24.60303,14,"Stegastes variabilis"
"obis",-82.923383,24.619917,6.3,"Stegastes variabilis"
"obis",-82.95654,24.65049,18.8,"Stegastes variabilis"
"obis",-80.317117,25.0702,15.4,"Stegastes variabilis"
"obis",-81.654133,24.490767,24.1,"Stegastes variabilis"
"obis",-82.98498,24.65955,26.5,"Stegastes variabilis"
"obis",-82.9779167,24.7211333,26.2,"Stegastes variabilis"
"obis",-80.4775999,24.9398167,9.5,"Stegastes variabilis"
"obis",-82.8820833,24.6859667,11,"Stegastes variabilis"
"obis",-83.1018,24.6434833,22.3,"Stegastes variabilis"
"obis",-82.8927333,24.66665,4.6,"Stegastes variabilis"
"obis",-81.38137,24.55674,5.8,"Stegastes variabilis"
"obis",-80.5294499,24.9033834,13.4,"Stegastes variabilis"
"obis",-80.21368,25.305,4,"Stegastes variabilis"
"obis",-82.8968833,24.6859,7.2,"Stegastes variabilis"
"obis",-80.61681,24.90394,3.7,"Stegastes variabilis"
"obis",-81.6904,24.4825333,21.9,"Stegastes variabilis"
"obis",-82.9305,24.566,11.6,"Stegastes variabilis"
"obis",-82.801317,24.630183,21,"Stegastes variabilis"
"obis",-83.0088,24.70501,28.8,"Stegastes variabilis"
"obis",-80.6171999,24.90875,3.4,"Stegastes variabilis"
"obis",-82.7916,24.73307,18.3,"Stegastes variabilis"
"obis",-81.4549333,24.58,8.2,"Stegastes variabilis"
"obis",-80.268317,25.150017,11.3,"Stegastes variabilis"
"obis",-83.04985,24.6451,13.1,"Stegastes variabilis"
"obis",-82.78425,24.72298,16.8,"Stegastes variabilis"
"obis",-82.96371,24.62092,16.5,"Stegastes variabilis"
"obis",-82.9196333,24.5587167,15.4,"Stegastes variabilis"
"obis",-82.93248,24.55655,16.2,"Stegastes variabilis"
"obis",-83.03559,24.63598,14.3,"Stegastes variabilis"
"obis",-81.650567,24.56735,3.1,"Stegastes variabilis"
"obis",-81.58699,24.5062,10.4,"Stegastes variabilis"
"obis",-80.7718333,24.7557667,7.2,"Stegastes variabilis"
"obis",-82.89694,24.61876,5.9,"Stegastes variabilis"
"obis",-81.6770167,24.4878667,7,"Stegastes variabilis"
"obis",-82.86197,24.71187,13.7,"Stegastes variabilis"
"obis",-81.38517,24.56817,5,"Stegastes variabilis"
"obis",-83.0459833,24.6398167,15.5,"Stegastes variabilis"
"obis",-82.8608167,24.6688833,7.3,"Stegastes variabilis"
"obis",-80.3683,25.04443,3,"Stegastes variabilis"
"obis",-83.01771,24.67744,22.4,"Stegastes variabilis"
"obis",-83.02843,24.64939,18.2,"Stegastes variabilis"
"obis",-81.0120166,24.65205,20.6,"Stegastes variabilis"
"obis",-81.7048999,24.4987,3.7,"Stegastes variabilis"
"obis",-82.9251667,24.61915,12,"Stegastes variabilis"
"obis",-81.40171,24.59774,8.8,"Stegastes variabilis"
"obis",-82.98883,24.71087,16.5,"Stegastes variabilis"
"obis",-80.6159666,24.9036167,3.8,"Stegastes variabilis"
"obis",-82.8044,24.72981,18.2,"Stegastes variabilis"
"obis",-80.6187666,24.8970833,4.1,"Stegastes variabilis"
"obis",-80.97105,24.6974,6.9,"Stegastes variabilis"
"obis",-82.83313,24.64151,6.1,"Stegastes variabilis"
"obis",-82.88096,24.59167,14.5,"Stegastes variabilis"
"obis",-80.39,25.06733,2.4,"Stegastes variabilis"
"obis",-80.26943,25.21523,3.4,"Stegastes variabilis"
"obis",-81.7333333,12.5004167,10.5,"Stegastes variabilis"
"obis",-82.972833,24.568217,23.3,"Stegastes variabilis"
"obis",-83.08172,24.67688,20.7,"Stegastes variabilis"
"obis",-80.7563166,24.7624167,10.1,"Stegastes variabilis"
"obis",-82.9046,24.68013,8.5,"Stegastes variabilis"
"obis",-82.7766167,24.70015,10.4,"Stegastes variabilis"
"obis",-80.2523333,25.21415,2.4,"Stegastes variabilis"
"obis",-83.0218,24.6787667,18.3,"Stegastes variabilis"
"obis",-80.3338332,25.0482667,17.1,"Stegastes variabilis"
"obis",-82.85067,24.71857,12.2,"Stegastes variabilis"
"obis",-81.94415,24.4417167,13.7,"Stegastes variabilis"
